m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
104	0.104	0.0646256	22	0.366666666666667	0.00611111111111111	1	A	-79.9535207	39.6360116	route3
345	0.345	0.214383	62	1.03333333333333	0.0172222222222222	2	A	-79.9543239	39.6354777	route3
252	0.252	0.1565928	88	1.46666666666667	0.0244444444444444	3	A	-79.9548081	39.6376538	route3
756	0.756	0.4697784	94	1.56666666666667	0.0261111111111111	4	A	-79.9575292	39.6373006	route3
1472	1.472	0.9147008	90	1.5	0.025	5	A	-79.963216	39.6423655	route3
73	0.073	0.0453622	11	0.183333333333333	0.00305555555555556	6	A	-79.9775309	39.6474064	route3
NA	NA	NA	NA	NA	NA	NA	A	-79.9767432	39.6474697	route3
104	0.104	0.0646256	22	0.366666666666667	0.00611111111111111	1	B	-79.9535207	39.6360116	route3
1706	1.706	1.0601084	218	3.63333333333333	0.0605555555555556	2	B	-79.9543239	39.6354777	route3
642	0.642	0.3989388	78	1.3	0.0216666666666667	3	B	-79.9598517	39.6474722	route3
1472	1.472	0.9147008	96	1.6	0.0266666666666667	4	B	-79.963216	39.6423655	route3
73	0.073	0.0453622	11	0.183333333333333	0.00305555555555556	5	B	-79.9775309	39.6474064	route3
NA	NA	NA	NA	NA	NA	NA	B	-79.9767432	39.6474697	route3
