m	km	miles	seconds	minutes	hours	leg	route	lon	lat	route_name
69	0.069	0.0428766	23	0.383333333333333	0.00638888888888889	1	A	-79.964595	39.6488687	route1
2372	2.372	1.4739608	362	6.03333333333333	0.100555555555556	2	A	-79.9640996	39.6493573	route1
NA	NA	NA	NA	NA	NA	NA	A	-79.95523	39.6335148	route1
69	0.069	0.0428766	23	0.383333333333333	0.00638888888888889	1	B	-79.964595	39.6488687	route1
434	0.434	0.2696876	51	0.85	0.0141666666666667	2	B	-79.9640996	39.6493573	route1
642	0.642	0.3989388	74	1.23333333333333	0.0205555555555556	3	B	-79.9598517	39.6474722	route1
1390	1.39	0.863746	169	2.81666666666667	0.0469444444444444	4	B	-79.963216	39.6423655	route1
90	0.09	0.055926	27	0.45	0.0075	5	B	-79.9566641	39.6318101	route1
172	0.172	0.1068808	42	0.7	0.0116666666666667	6	B	-79.955804	39.631347	route1
112	0.112	0.0695968	26	0.433333333333333	0.00722222222222222	7	B	-79.954696	39.632633	route1
11	0.011	0.0068354	3	0.05	0.000833333333333333	8	B	-79.95527	39.6334197	route1
NA	NA	NA	NA	NA	NA	NA	B	-79.95523	39.6335148	route1
